+------------------------------------------------------------------------------------+
            Cipher Name: ChaCha
            PNB search in conventional way                                           
            # of total rounds: 7
            # of forward rounds: 4        
            ID = (13, 6), OD = (2, 0)⊕(7, 7)⊕(8, 0)                                  
            Neutrality Measure: 0.25      
            Total samples : 2^{21}                                                   
+------------------------------------------------------------------------------------+
########Execution Started on: 22-1-2024-17-10-36########

The file contains the detailed PNBs from the file 101736_22012024_nor_convt_0.25_pnbs_ChaCha_7_id_13_6.txt

bias of 30 ~ -0.000349
bias of 31 ~ 0.878871
****************************** Keyword: 6 *********************************************
bias of 0 ~ 0.673717
bias of 1 ~ 0.503422
bias of 2 ~ 0.300953
bias of 3 ~ 0.113087
bias of 4 ~ 0.014562
bias of 5 ~ -0.000220
bias of 6 ~ -0.000738
bias of 7 ~ 0.718346
bias of 8 ~ 0.513820
bias of 9 ~ 0.249322
bias of 10 ~ 0.040846
bias of 11 ~ -0.000068
bias of 12 ~ 0.242186
bias of 13 ~ 0.057936
bias of 14 ~ 0.000832
bias of 15 ~ 0.735946
bias of 16 ~ 0.518460
bias of 17 ~ 0.200091
bias of 18 ~ 0.007499
bias of 19 ~ 0.621147
bias of 20 ~ 0.422172
bias of 21 ~ 0.202601
bias of 22 ~ 0.042418
bias of 23 ~ 0.000581
bias of 24 ~ 0.062047
bias of 25 ~ 0.000623
bias of 26 ~ 0.000238
bias of 27 ~ 1.000000
bias of 28 ~ 1.000000
bias of 29 ~ 1.000000
bias of 30 ~ 1.000000
bias of 31 ~ 1.000000
****************************** Keyword: 7 *********************************************
bias of 0 ~ 0.828581
bias of 1 ~ 0.699743
bias of 2 ~ 0.506368
bias of 3 ~ 0.266759
bias of 4 ~ 0.069592
bias of 5 ~ 0.002554
bias of 6 ~ -0.000108
bias of 7 ~ 0.000271
bias of 8 ~ 0.233030
bias of 9 ~ 0.081834
bias of 10 ~ 0.008461
bias of 11 ~ -0.000348
bias of 12 ~ 0.016427
bias of 13 ~ 0.082488
bias of 14 ~ 0.008471
bias of 15 ~ 0.000149
bias of 16 ~ 0.026821
bias of 17 ~ 0.000018
bias of 18 ~ 0.001088
bias of 19 ~ 0.000481
bias of 20 ~ 0.856002
bias of 21 ~ 0.744306
bias of 22 ~ 0.561154
bias of 23 ~ 0.299444
bias of 24 ~ 0.035641
bias of 25 ~ 0.178802
bias of 26 ~ 0.036175
bias of 27 ~ 0.001203
bias of 28 ~ 0.061551
bias of 29 ~ 0.004377
bias of 30 ~ -0.000376
bias of 31 ~ 1.000000
*************** Non-PNBs (171) ***************
{255, }
*************** PNBs (85) ***************
Execution time: 1360831.529432 millisec
