+------------------------------------------------------------------------------------+
            Cipher Name: ChaCha
            PNB search in syncopation way                                           
            # of total rounds: 7
            # of forward rounds: 4        
            ID = (13, 6), OD = (2, 0)⊕(7, 7)⊕(8, 0)                                  
            Neutrality Measure: 0.5      
            Total samples : 2^{21}                                                   
+------------------------------------------------------------------------------------+
The file contains the detailed PNBs from the file 301803_04012024_synco_0.50_pnbs_ChaCha_7_id_13_6.txt

****************************** Keyword: 0 *********************************************
*************** PNBs (4) ***************
bias of 6 ~ 0.501356
bias of 5 ~ 0.661798
bias of 4 ~ 0.779375
bias of 3 ~ 0.859325
*************** Non-PNBs (28) ***************
bias of 28 ~ 0.052325
bias of 27 ~ 0.189300
bias of 26 ~ 0.364506
bias of 25 ~ -0.000310
bias of 24 ~ 0.029179
bias of 23 ~ 0.127503
bias of 22 ~ -0.277932
bias of 21 ~ 0.000309
bias of 20 ~ 0.122475
bias of 19 ~ 0.311626
bias of 18 ~ -0.001261
bias of 17 ~ 0.105628
bias of 29 ~ 0.000771
bias of 0 ~ 0.124745
bias of 13 ~ 0.000557
bias of 30 ~ -0.000585
bias of 1 ~ -0.000823
bias of 14 ~ -0.638625
bias of 31 ~ 0.498878
bias of 2 ~ -0.915338
bias of 15 ~ 0.479346
bias of 7 ~ 0.300081
bias of 8 ~ 0.109941
bias of 9 ~ -0.000734
bias of 10 ~ -0.341068
bias of 11 ~ 0.181108
bias of 12 ~ 0.058766
bias of 16 ~ 0.291491
*------------------------------------------------------------------------------------*
****************************** Keyword: 1 *********************************************
*************** PNBs (3) ***************
bias of 49 ~ 0.554797
bias of 48 ~ 0.768455
bias of 47 ~ 0.879330
*************** Non-PNBs (29) ***************
bias of 60 ~ 0.314638
bias of 59 ~ -0.505674
bias of 58 ~ 0.000243
bias of 57 ~ 0.000332
bias of 56 ~ 0.023660
bias of 55 ~ -0.128346
bias of 54 ~ 0.063767
bias of 53 ~ 0.258388
bias of 52 ~ 0.465924
bias of 51 ~ -0.642632
bias of 50 ~ 0.143866
bias of 46 ~ 0.000552
bias of 45 ~ -0.000157
bias of 61 ~ 0.125311
bias of 32 ~ -0.001613
bias of 62 ~ -0.000496
bias of 33 ~ 0.338157
bias of 63 ~ -0.053660
bias of 34 ~ 0.102549
bias of 35 ~ -0.330042
bias of 36 ~ 0.127383
bias of 37 ~ 0.001471
bias of 38 ~ 0.161348
bias of 39 ~ -0.614884
bias of 40 ~ 0.421124
bias of 41 ~ 0.191943
bias of 42 ~ -0.000581
bias of 43 ~ -0.269700
bias of 44 ~ 0.100931
*------------------------------------------------------------------------------------*
****************************** Keyword: 2 *********************************************
*************** PNBs (19) ***************
bias of 91 ~ 0.671039
bias of 87 ~ 0.720857
bias of 86 ~ 0.858796
bias of 85 ~ 0.928580
bias of 84 ~ 0.963724
bias of 83 ~ 0.981520
bias of 67 ~ 0.998034
bias of 80 ~ 0.997670
bias of 68 ~ 0.996103
bias of 81 ~ 0.995296
bias of 69 ~ 0.992105
bias of 82 ~ 0.990598
bias of 70 ~ 0.984248
bias of 71 ~ 0.968764
bias of 72 ~ 0.937205
bias of 73 ~ 0.875253
bias of 74 ~ 0.749894
bias of 78 ~ 0.999368
bias of 79 ~ 0.998852
*************** Non-PNBs (13) ***************
bias of 95 ~ -0.749178
bias of 94 ~ 0.000274
bias of 93 ~ 0.235075
bias of 89 ~ -0.084028
bias of 76 ~ 0.001460
bias of 88 ~ 0.450517
bias of 75 ~ 0.499471
bias of 92 ~ 0.480144
bias of 66 ~ -0.999041
bias of 65 ~ 0.000935
bias of 90 ~ -0.800838
bias of 77 ~ -0.999658
bias of 64 ~ 0.249797
*------------------------------------------------------------------------------------*
****************************** Keyword: 3 *********************************************
*************** PNBs (15) ***************
bias of 127 ~ 0.820280
bias of 126 ~ 0.865211
bias of 102 ~ 0.994440
bias of 115 ~ 0.660311
bias of 103 ~ 0.989196
bias of 104 ~ 0.981135
bias of 105 ~ 0.968098
bias of 106 ~ 0.946733
bias of 107 ~ 0.912888
bias of 108 ~ 0.860224
bias of 109 ~ 0.780736
bias of 110 ~ 0.666629
bias of 111 ~ 0.514265
bias of 124 ~ 0.943186
bias of 125 ~ 0.909765
*************** Non-PNBs (17) ***************
bias of 123 ~ -0.965835
bias of 122 ~ -0.000629
bias of 121 ~ 0.125050
bias of 120 ~ 0.328734
bias of 96 ~ -0.437228
bias of 97 ~ 0.203243
bias of 98 ~ 0.000196
bias of 99 ~ -0.327392
bias of 112 ~ 0.323825
bias of 100 ~ 0.124994
bias of 113 ~ 0.123472
bias of 101 ~ -0.000566
bias of 114 ~ -0.001269
bias of 116 ~ 0.473331
bias of 117 ~ 0.232575
bias of 118 ~ -0.000899
bias of 119 ~ -0.517935
*------------------------------------------------------------------------------------*
****************************** Keyword: 4 *********************************************
