+------------------------------------------------------------------------------------+
            Cipher Name: ChaCha
            PNB search in syncopation way                                           
            # of total rounds: 7
            # of forward rounds: 3        
            ID = (13, 13), OD = (11, 0)                                  
            Neutrality Measure: 0.707107      
            Total samples : 2^{20}                                                   
+------------------------------------------------------------------------------------+
The file contains the detailed PNBs from the file 231339_06012024_synco_0.71_pnbs_ChaCha_7_id_13_13.txt

bias of 161 ~ 0.078045
bias of 160 ~ -0.247484
bias of 173 ~ 0.005590
bias of 174 ~ 0.000458
bias of 175 ~ -0.001053
bias of 176 ~ -0.317909
bias of 177 ~ 0.067091
bias of 178 ~ -0.000372
bias of 179 ~ 0.001156
bias of 180 ~ -0.157295
bias of 181 ~ 0.028574
bias of 182 ~ -0.000641
bias of 183 ~ -0.001026
bias of 184 ~ -0.123545
bias of 185 ~ 0.018570
bias of 186 ~ -0.000019
bias of 187 ~ -0.000904
bias of 188 ~ -0.367895
*------------------------------------------------------------------------------------*
****************************** Keyword: 6 *********************************************
*************** PNBs (0) ***************
*************** Non-PNBs (32) ***************
bias of 223 ~ -0.937059
bias of 222 ~ 0.000963
bias of 221 ~ 0.061956
bias of 204 ~ 0.077959
bias of 203 ~ -0.000742
bias of 202 ~ -0.002552
bias of 201 ~ 0.077589
bias of 200 ~ -0.247034
bias of 199 ~ -0.001934
bias of 198 ~ -0.000214
bias of 197 ~ 0.017820
bias of 196 ~ -0.081209
bias of 195 ~ -0.000353
bias of 194 ~ 0.099171
bias of 193 ~ 0.274702
bias of 192 ~ 0.465549
bias of 205 ~ 0.012064
bias of 206 ~ -0.000061
bias of 207 ~ 0.001055
bias of 208 ~ 0.109177
bias of 209 ~ 0.017721
bias of 210 ~ -0.000793
bias of 211 ~ -0.000187
bias of 212 ~ -0.518023
bias of 213 ~ 0.306227
bias of 214 ~ 0.106606
bias of 215 ~ -0.000582
bias of 216 ~ 0.444918
bias of 217 ~ 0.222775
bias of 218 ~ 0.051846
bias of 219 ~ -0.000235
bias of 220 ~ 0.278189
*------------------------------------------------------------------------------------*
****************************** Keyword: 7 *********************************************
*************** PNBs (10) ***************
bias of 255 ~ 1.000000
bias of 254 ~ 1.000000
bias of 253 ~ 1.000000
bias of 252 ~ 1.000000
bias of 249 ~ 1.000000
bias of 248 ~ 1.000000
bias of 251 ~ 1.000000
bias of 225 ~ 0.733431
bias of 250 ~ 1.000000
bias of 224 ~ 0.822758
*************** Non-PNBs (22) ***************
bias of 247 ~ 0.000496
bias of 246 ~ 0.004045
bias of 245 ~ 0.049168
bias of 244 ~ 0.163151
bias of 243 ~ 0.323629
bias of 242 ~ 0.013035
bias of 241 ~ 0.137331
bias of 240 ~ -0.328850
bias of 239 ~ 0.000813
bias of 226 ~ 0.614885
